volatility_336_96_MTST_custom_ftM_sl336_ll0_pl96_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 16, 48  
volatility_336_192_MTST_custom_ftM_sl336_ll0_pl192_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 16, 48  
mse:1.1689271926879883, mae:0.6884745359420776, rse:0.6416205167770386

volatility_336_210_MTST_custom_ftM_sl336_ll0_pl210_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 32, 96  
mse:1.122951626777649, mae:0.6838906407356262, rse:0.6370378136634827

volatility_336_493_MTST_custom_ftM_sl336_ll0_pl493_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 32, 96  
mse:4.3397040367126465, mae:1.3872195482254028, rse:1.344185709953308

volatility_336_96_MTST_custom_ftM_sl336_ll0_pl96_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 16, 48  
mse:0.747669517993927, mae:0.5003493428230286, rse:0.4977165162563324

volatility_336_192_MTST_custom_ftM_sl336_ll0_pl192_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 16, 48  
mse:1.1021991968154907, mae:0.6509968638420105, rse:0.6383736729621887

volatility_336_210_MTST_custom_ftM_sl336_ll0_pl210_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 32, 96  
mse:1.0801945924758911, mae:0.646482527256012, rse:0.63824862241745

volatility_336_493_MTST_custom_ftM_sl336_ll0_pl493_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 32, 96  
mse:3.261708974838257, mae:1.0938981771469116, rse:1.1726576089859009

volatility_1000_30_MTST_custom_ftM_sl1000_ll0_pl30_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 32, 96  
mse:0.6172956824302673, mae:0.45360907912254333, rse:0.4400236904621124

volatility_1000_90_MTST_custom_ftM_sl1000_ll0_pl90_dm128_nh16_el1_br3_dl1_df256_fc1_ebtimeF_dtTrue_Exp_0_rel_sin_8, 32, 96  
mse:0.7921196818351746, mae:0.5517919063568115, rse:0.5101267099380493

